epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,6828.49,0.59385,0.66476,1.14755,0.86498,0.81351,0.87347,0.72186,0.67811,0.67318,1.17713,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,6939.53,0.58876,0.66208,1.14223,0.86814,0.80909,0.8736,0.72307,0.67754,0.67302,1.17704,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7050.05,0.5826,0.63883,1.13823,0.86413,0.81018,0.87336,0.72303,0.67856,0.67264,1.17919,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7160.84,0.5854,0.64667,1.13852,0.86484,0.8114,0.87319,0.72321,0.67794,0.67303,1.17851,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7271.6,0.57622,0.63065,1.13343,0.86762,0.81136,0.87332,0.72375,0.67834,0.67328,1.1791,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7382.48,0.58443,0.6388,1.1397,0.86866,0.81052,0.87333,0.72347,0.67792,0.67255,1.17883,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7493.44,0.57037,0.61792,1.12985,0.86685,0.81327,0.8731,0.72326,0.67771,0.6719,1.1787,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7604.41,0.57043,0.6126,1.1303,0.86591,0.81476,0.87309,0.72346,0.67712,0.67009,1.17808,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,7715.26,0.56501,0.61078,1.12804,0.86308,0.8173,0.87353,0.72373,0.67643,0.66889,1.17755,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,7826.39,0.56758,0.60102,1.12775,0.8632,0.81771,0.87351,0.72376,0.67627,0.66839,1.17754,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,7936.8,0.56954,0.60001,1.12942,0.86227,0.81838,0.87333,0.72406,0.67593,0.66761,1.17744,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,8047.75,0.55958,0.58957,1.12225,0.85466,0.82389,0.87335,0.72415,0.67579,0.66728,1.17752,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,8158.4,0.55692,0.58089,1.11869,0.8552,0.82516,0.87319,0.7244,0.67608,0.66598,1.17839,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,8269.34,0.55619,0.584,1.12081,0.85612,0.82645,0.87311,0.72472,0.67617,0.66573,1.17875,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,8379.82,0.5508,0.57154,1.11639,0.85526,0.82713,0.87295,0.72456,0.67567,0.66549,1.17828,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,8490.63,0.54545,0.56272,1.11159,0.85881,0.82455,0.87298,0.72473,0.67454,0.66534,1.17706,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,8601.69,0.54519,0.5554,1.1111,0.85846,0.82615,0.87313,0.72528,0.67429,0.66476,1.17716,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,8712.81,0.54118,0.55139,1.10829,0.8588,0.82675,0.87311,0.72532,0.67395,0.66472,1.17689,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,8823.66,0.53906,0.55075,1.10731,0.859,0.82702,0.87333,0.72588,0.6746,0.66511,1.17806,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,8934.9,0.53621,0.53684,1.10569,0.85949,0.82674,0.87321,0.72554,0.67451,0.66495,1.17831,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,9045.85,0.5317,0.53559,1.10382,0.86064,0.82546,0.87332,0.72584,0.67457,0.66452,1.17867,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,9156.65,0.53054,0.52878,1.10313,0.85941,0.82682,0.87341,0.72604,0.67507,0.66443,1.17947,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,9267.44,0.52848,0.52367,1.09848,0.85972,0.82585,0.87306,0.72594,0.67505,0.66431,1.17972,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,9378.26,0.52586,0.51751,1.09815,0.86155,0.82324,0.87348,0.726,0.67542,0.66411,1.1806,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,9488.95,0.52014,0.51237,1.09396,0.85999,0.82605,0.87346,0.72608,0.67493,0.66378,1.1801,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,9599.7,0.5228,0.51217,1.09636,0.86168,0.82457,0.87338,0.72618,0.67457,0.66353,1.17984,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,9710.33,0.51738,0.50385,1.09307,0.86022,0.82544,0.87349,0.7261,0.67423,0.66315,1.17963,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,9821.25,0.51068,0.49839,1.08695,0.86159,0.82343,0.87344,0.72645,0.67481,0.66326,1.18069,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,9932.14,0.50786,0.485,1.08564,0.85979,0.8244,0.8734,0.72647,0.67459,0.66347,1.18083,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,10043.1,0.5034,0.48137,1.0835,0.85734,0.82747,0.8734,0.72623,0.67455,0.6634,1.18092,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,10153.6,0.49983,0.47333,1.0819,0.85602,0.82811,0.87294,0.72624,0.67488,0.66325,1.18146,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,10264.5,0.49774,0.47142,1.08013,0.85496,0.82859,0.87253,0.72609,0.67478,0.66339,1.18165,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,10375.6,0.49802,0.46965,1.07953,0.85619,0.82807,0.87247,0.72607,0.6748,0.66362,1.18184,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,10494,0.49515,0.46424,1.07652,0.85666,0.82823,0.87228,0.726,0.67511,0.66422,1.18244,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,10613.8,0.39143,0.31631,1.03077,0.86437,0.82006,0.87218,0.72601,0.67521,0.66399,1.18308,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,10731,0.37978,0.29388,1.0193,0.86171,0.82239,0.87213,0.72578,0.67535,0.66432,1.18367,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,10850.8,0.37485,0.28704,1.01597,0.86358,0.82147,0.87193,0.72602,0.67531,0.6649,1.18424,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,10968.7,0.36974,0.28111,1.01104,0.86299,0.82125,0.8718,0.72601,0.67527,0.66523,1.18452,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,11079.4,0.36088,0.27124,1.00536,0.86202,0.82209,0.87154,0.72531,0.67493,0.66572,1.18446,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,11189.8,0.35695,0.26563,0.99944,0.86271,0.82191,0.87119,0.72532,0.67503,0.66604,1.1852,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,11300.6,0.35459,0.25969,0.9959,0.86307,0.82212,0.87128,0.72534,0.67494,0.66552,1.18573,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,11411.5,0.34722,0.2547,0.99038,0.86302,0.82265,0.87102,0.72545,0.67543,0.66512,1.18744,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,11522.3,0.34306,0.24628,0.99134,0.86294,0.82232,0.87076,0.72553,0.67527,0.66553,1.18782,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,11633.2,0.34274,0.24733,0.9871,0.863,0.82213,0.87052,0.72532,0.6753,0.66579,1.18858,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
